date,symbol,k_pred_ret,k_up_prob,k_pred_vol,turnover,pct_chg,amplitude,label_fwd_ret_5d
2018-02-28,300308,-0.03429210566575495,0.3333333333333333,0.04109308741077823,0.55,0.52,4.59,0.051421657592256365
2018-03-01,300308,-0.06573736948889101,0.0,0.03462908910143929,0.76,0.12,4.6,0.09003021148036239
2018-03-02,300308,-0.0342366659389162,0.0,0.01961714915311467,1.22,3.02,10.3,0.05542521994134897
2018-03-05,300308,-0.07699749033938175,0.0,0.011342373313849859,0.75,0.59,5.75,0.07959183673469394
2018-03-06,300308,-0.07028976751833542,0.0,0.025144959273360315,0.66,-1.78,3.0,0.07895517957850995
2018-03-07,300308,-0.017606565196730834,0.3333333333333333,0.030281821358583618,0.73,3.18,5.7,0.0327963176064443
2018-03-08,300308,-0.031405929957581104,0.3333333333333333,0.042003106777961215,0.92,3.8,3.45,0.010532150776053184
2018-03-09,300308,-0.07543125279462519,0.0,0.05055017356714925,0.71,-0.25,3.52,0.04584606835232008
2018-03-12,300308,-0.07543581260998429,0.0,0.02361444620473428,0.94,2.89,6.11,0.020523899540912716
2018-03-13,300308,-0.13777959090303335,0.0,0.015133922418772485,0.54,-1.84,4.13,0.053920220082531056
2018-03-14,300308,-0.09986103307976742,0.0,0.015748891554758348,0.52,-1.24,2.72,0.05348189415041782
2018-03-15,300308,-0.035021641128242464,0.0,0.025549267933439847,0.4,1.56,4.26,0.012616566099835413
2018-03-16,300308,-0.03294268071182819,0.0,0.03874249034888285,0.73,3.24,6.5,-0.07917109458023386
2018-03-19,300308,-0.04360725573094822,0.0,0.04321759592718696,0.36,0.4,1.81,-0.03942842021698867
2018-03-20,300308,-0.0708348359276801,0.0,0.051706246655638305,0.51,1.38,3.18,-0.08039676324719403
2018-03-21,300308,-0.09159322533026219,0.0,0.0036479390850271735,0.95,-1.28,2.61,-0.12004230565838181
2018-03-22,300308,-0.03037200502758408,0.3333333333333333,0.032387488389585696,0.49,-2.38,2.51,-0.07638136511375948
2018-03-23,300308,-0.07500393427679719,0.0,0.05228691406323108,1.01,-6.12,7.91,0.05106751298326606
2018-03-26,300308,-0.031097362949013885,0.3333333333333333,0.05136561918471903,1.87,4.73,15.55,-0.012121212121212088
2018-03-27,300308,-0.08343829180364541,0.0,0.03589140865675734,1.6,-2.95,4.49,0.0
2018-03-28,300308,0.02051785364655408,0.6666666666666666,0.03961100015443031,0.78,-5.54,6.1,0.11778846153846168
2018-03-29,300308,-0.027122977452400405,0.3333333333333333,0.026829438497296035,1.1,2.46,3.61,0.10410557184750724
2018-03-30,300308,0.01517230767541844,0.6666666666666666,0.05024305387983708,1.39,6.83,7.04,0.015097447158934907
2018-04-02,300308,-0.05280278056044622,0.0,0.008773755416840903,1.3,-1.56,5.74,0.03792526491912995
2018-04-03,300308,-0.021556710283825848,0.0,0.0010392174834493047,0.52,-1.76,3.63,0.04768663071246104
2018-04-04,300308,0.008300499722526592,0.3333333333333333,0.03867253387834823,1.49,5.59,6.3,-0.02553763440860224
2018-04-09,300308,-0.03610656765626763,0.3333333333333333,0.035495294678143184,0.67,1.21,5.08,0.006640106241699861
2018-04-10,300308,-0.00987234195812233,0.3333333333333333,0.03059539389040827,1.02,-1.78,3.61,-0.08518117901568412
2018-04-11,300308,-0.0037643696695742745,0.3333333333333333,0.030377775603314908,0.7,0.65,3.38,-0.11955937667920458
2018-04-12,300308,-0.002875714624054041,0.6666666666666666,0.049445147007171786,0.34,-0.83,2.12,-0.10268219994581418
2018-04-13,300308,0.008535540331070032,0.6666666666666666,0.05280592206925657,0.4,-1.79,2.76,-0.12937931034482764
2018-04-16,300308,0.04805799462329382,1.0,0.018645613191285926,1.53,4.55,8.08,-0.233245382585752
2018-04-17,300308,-0.028034931541852142,0.0,0.02765738833487961,2.35,-10.74,14.51,-0.04699970440437473
2018-04-18,300308,0.036645128334880685,1.0,0.030260182128179058,2.19,-3.13,11.26,-0.014952700640830097
2018-04-19,300308,-0.007854746870053239,0.3333333333333333,0.06691387037177779,0.81,1.07,5.13,-0.07578502415458932
2018-04-20,300308,-0.04485802719558485,0.3333333333333333,0.04266038908870341,0.72,-4.71,4.59,-0.02313054499366285
2018-04-23,300308,-0.07231747877461825,0.0,0.05117575665081242,1.56,-7.92,13.34,0.06022023399862353
2018-04-24,300308,-0.009527135097698794,0.3333333333333333,0.04869407327757351,1.31,10.94,9.26,0.02791563275434239
2018-04-25,300308,0.07471656957078898,1.0,0.04644159608586748,0.86,0.12,4.71,-0.028810408921933095
2018-04-26,300308,-0.0478238897942059,0.0,0.019009299701588066,0.97,-5.17,6.54,0.04540999673309387
2018-04-27,300308,-0.04502250524332067,0.0,0.03001079919369923,0.9,0.72,5.82,0.05935776840739537
2018-05-02,300308,-0.1006411324450616,0.3333333333333333,0.10710553837742538,0.54,-0.06,3.8,0.06426484907497576
2018-05-03,300308,0.00533919688828081,0.3333333333333333,0.04829630232162041,1.3,7.56,14.9,-0.021424260712130327
2018-05-04,300308,-0.03626205023806043,0.3333333333333333,0.05420197532483609,1.5,-5.4,6.88,0.009250398724082842
2018-05-07,300308,-0.018494759640244978,0.3333333333333333,0.09669948289576186,0.73,2.07,5.74,0.04156249999999995
2018-05-08,300308,-0.0618285338083903,0.3333333333333333,0.0575780978792137,0.87,2.06,3.69,0.1258420085731784
2018-05-09,300308,-0.019229380445447124,0.3333333333333333,0.03713665529724851,0.4,0.4,2.02,0.0771576700213481
2018-05-10,300308,-0.034622605767714885,0.0,0.018298961326188988,0.46,-1.1,3.57,0.07647240209682393
2018-05-11,300308,-0.07991629071293978,0.0,0.0376570261584924,0.74,-2.44,3.7,0.1096713021491782
2018-05-14,300308,0.006913396109521908,0.6666666666666666,0.039737272436490285,1.28,5.34,5.97,0.08550855085508546
2018-05-15,300308,0.04412849884842007,1.0,0.024903971269803128,1.79,10.32,11.61,0.02094098449823223
2018-05-16,300308,0.016057740419754496,0.6666666666666666,0.020257555047709375,1.15,-3.94,3.35,0.04275198187995466
2018-05-17,300308,0.04845561095569306,1.0,0.020441001119948066,0.66,-1.16,3.54,0.01804640504153543
2018-05-18,300308,-0.011111798992610352,0.3333333333333333,0.013429978840650789,0.37,0.57,3.58,-0.009683850754770629
2018-05-21,300308,0.010670485822923367,0.6666666666666666,0.015830922549207215,1.05,3.05,4.24,-0.02985074626865669
2018-05-22,300308,0.07858688413536703,1.0,0.035077118685209026,1.26,3.76,6.3,-0.0458177943526904
2018-05-23,300308,0.02453921112618766,1.0,0.006743036788871931,0.71,-1.89,2.72,-0.11023622047244086
